eleccion;comuna;cut_comuna;region;cut_region;candidatura;votos;votos_comuna;votos_comuna_mayoria;ganador_comuna
Primera vuelta;Camarones;15102;Arica y Parinacota;15;Votos En Blanco;4;1067;375;Franco Aldo Parisi
Primera vuelta;Camarones;15102;Arica y Parinacota;15;Votos Nulos;14;1067;375;Franco Aldo Parisi
Primera vuelta;Camarones;15102;Arica y Parinacota;15;Yasna Provoste;195;1067;375;Franco Aldo Parisi
Primera vuelta;Camiña;1402;Tarapacá;1;Eduardo Artes;3;883;384;Jose Antonio Kast
Primera vuelta;Camiña;1402;Tarapacá;1;Franco Aldo Parisi;328;883;384;Jose Antonio Kast
Primera vuelta;Camiña;1402;Tarapacá;1;Gabriel Boric;60;883;384;Jose Antonio Kast
Primera vuelta;Camiña;1402;Tarapacá;1;Jose Antonio Kast;384;883;384;Jose Antonio Kast
Primera vuelta;Camiña;1402;Tarapacá;1;Marco Enriquez-Ominami;16;883;384;Jose Antonio Kast
Primera vuelta;Camiña;1402;Tarapacá;1;Sebastian Sichel;31;883;384;Jose Antonio Kast
Primera vuelta;Camiña;1402;Tarapacá;1;Votos En Blanco;7;883;384;Jose Antonio Kast
Primera vuelta;Camiña;1402;Tarapacá;1;Votos Nulos;7;883;384;Jose Antonio Kast
Primera vuelta;Camiña;1402;Tarapacá;1;Yasna Provoste;47;883;384;Jose Antonio Kast
Primera vuelta;Canela;4202;Coquimbo;4;Eduardo Artes;46;3903;1161;Gabriel Boric
Primera vuelta;Canela;4202;Coquimbo;4;Franco Aldo Parisi;679;3903;1161;Gabriel Boric
Primera vuelta;Canela;4202;Coquimbo;4;Gabriel Boric;1161;3903;1161;Gabriel Boric
Primera vuelta;Canela;4202;Coquimbo;4;Jose Antonio Kast;663;3903;1161;Gabriel Boric
Primera vuelta;Canela;4202;Coquimbo;4;Marco Enriquez-Ominami;134;3903;1161;Gabriel Boric
Primera vuelta;Canela;4202;Coquimbo;4;Sebastian Sichel;294;3903;1161;Gabriel Boric
Primera vuelta;Canela;4202;Coquimbo;4;Votos En Blanco;36;3903;1161;Gabriel Boric
Primera vuelta;Canela;4202;Coquimbo;4;Votos Nulos;39;3903;1161;Gabriel Boric
Primera vuelta;Canela;4202;Coquimbo;4;Yasna Provoste;851;3903;1161;Gabriel Boric
Primera vuelta;Carahue;9102;La Araucanía;9;Eduardo Artes;113;9633;3976;Jose Antonio Kast
Primera vuelta;Carahue;9102;La Araucanía;9;Franco Aldo Parisi;944;9633;3976;Jose Antonio Kast
